"Qty";"Value";"Device";"Package";"Parts";"Description";"A10";
"2";"";"PINHD-2X8";"2X08";"JP1, JP2";"PIN HEADER";"";
"1";"MTS-103";"TL39PO";"TL3XPO";"S5";"TINY SWITCH ON OFF ON";"Alt Sce";
"1";"MTS-103";"TL39PO";"TL3XPO";"S2";"TINY SWITCH ON OFF ON";"GunPac";
"1";"MTS-103";"TL39PO";"TL3XPO";"S10";"TINY SWITCH ON OFF ON";"IFFCC";
"1";"MTS-103";"TL39PO";"TL3XPO";"S3";"TINY SWITCH ON OFF ON";"LASER Arm";
"1";"MTS-103";"TL39PO";"TL3XPO";"S1";"TINY SWITCH ON OFF ON";"Master Arm";
"1";"MTS102";"TL36PO";"TL3XPO";"S8";"TINY SWITCH ON - ON";"CICU";
"1";"MTS102";"TL36PO";"TL3XPO";"S6";"TINY SWITCH ON - ON";"HUD Mode 1";
"1";"MTS102";"TL36PO";"TL3XPO";"S7";"TINY SWITCH ON - ON";"HUD Mode 2";
"1";"MTS102";"TL36PO";"TL3XPO";"S9";"TINY SWITCH ON - ON";"JTRS";
"1";"MTS102";"TL36PO";"TL3XPO";"S4";"TINY SWITCH ON - ON";"TGP";
